koi_period,koi_prad,koi_srad,koi_steff,koi_slogg,label,mission
145.5624926,40.15,1.095,6148.0,4.346,0.0,Kepler
3.749105745,1.68,0.983,5751.0,4.447,1.0,Kepler
11.08956602,3.51,2.867,6353.0,3.698,1.0,Kepler
7.37290344,2.67,1.07,5973.0,4.371,1.0,Kepler
7.24476126,0.65,0.874,5370.0,4.494,0.0,Kepler
119.0624882,10.4,0.92,5697.0,4.392,1.0,Kepler
8.70798309,2.01,0.554,4362.0,4.722,1.0,Kepler
14.8623076,1.57,0.554,4362.0,4.722,1.0,Kepler
4.17634276,1.23,0.554,4362.0,4.722,1.0,Kepler
27.40229859,3.63,1.324,6198.0,4.237,1.0,Kepler
3.179267286,1.21,0.857,5511.0,4.554,1.0,Kepler
10.38122447,2.18,0.78,5095.0,4.566,1.0,Kepler
24.5709023,2.82,0.78,5095.0,4.566,1.0,Kepler
81.221876,16.59,0.874,5619.0,4.536,0.0,Kepler
0.817026268,2.92,0.874,5619.0,4.536,0.0,Kepler
3.024092505,12.14,1.358,6063.0,4.261,1.0,Kepler
5.670155713,5.85,0.183,3337.0,5.126,0.0,Kepler
1.022678654,1.14,1.02,5366.0,4.363,1.0,Kepler
12.10968709,2.98,1.458,6021.0,4.093,1.0,Kepler
4.75796103,1.7,1.458,6021.0,4.093,1.0,Kepler
20.4972755,2.96,1.458,6021.0,4.093,1.0,Kepler
13.55480534,0.62,0.874,5370.0,4.494,0.0,Kepler
29.74454668,20.06,0.788,4889.0,4.569,0.0,Kepler
14.15402428,53.25,1.037,5850.0,4.404,0.0,Kepler
0.844786082,35.27,0.915,5705.0,4.452,0.0,Kepler
0.848483947,32.11,0.936,5941.0,4.504,0.0,Kepler
11.99097576,37.47,1.072,6110.0,4.352,0.0,Kepler
53.5292702,2.28,0.708,4736.0,4.624,1.0,Kepler
0.393726813,24.17,1.031,6277.0,4.449,0.0,Kepler
2.757584622,1.01,0.424,3683.0,4.84,1.0,Kepler
0.928310036,1.16,0.602,4109.0,4.672,1.0,Kepler
13.48457668,3.39,1.324,6198.0,4.237,1.0,Kepler
